family	# of mem	avg age	avg p-value
hsa-mir-4315	2	0.0	0.047
hsa-mir-1324	2	1.0	0.0933
hsa-mir-3199	2	0.0	0.0455
hsa-mir-1972	2	1.5	0.082
hsa-mir-378	3	3.0	0.0401
hsa-mir-3119	2	0.5	0.0418
hsa-mir-3118	6	0.5	0.0015
hsa-mir-208	2	8.5	0.034
hsa-mir-374	3	8.3333	0.0139
hsa-mir-376	4	8.25	0.0122
hsa-mir-124	3	13.3333	0.0001
hsa-mir-125	3	10.0	0.0075
hsa-mir-128	2	12.0	0.0055
hsa-mir-129	2	9.5	0.0121
hsa-mir-519	7	1.4286	0.0045
hsa-mir-1255	4	1.75	0.0213
hsa-mir-3913	2	0.0	0.0451
hsa-mir-3910	2	0.0	0.0477
hsa-mir-33	3	8.3333	0.0159
hsa-mir-30	6	10.8333	0.0001
hsa-mir-34	3	9.6667	0.0075
hsa-mir-642	3	2.0	0.0269
hsa-mir-3202	2	1.0	0.0913
hsa-mir-1233	2	2.0	0.0619
hsa-mir-487	2	9.0	0.028
hsa-mir-320	9	3.2222	0.0204
hsa-mir-216	2	9.0	0.0294
hsa-mir-365	2	10.0	0.0173
hsa-mir-218	3	12.3333	0.0006
hsa-mir-219	2	9.0	0.0314
hsa-mir-1	2	12.0	0.0049
hsa-mir-3689	2	0.5	0.042
hsa-mir-7	4	9.25	0.0035
hsa-mir-200	3	8.6667	0.0147
hsa-mir-9	4	10.5	0.0015
hsa-mir-199	3	9.0	0.0113
hsa-mir-1244	3	1.0	0.0404
hsa-mir-194	2	8.5	0.0319
hsa-mir-196	3	9.6667	0.0074
hsa-mir-190	2	12.0	0.0055
hsa-mir-193	3	10.0	0.0073
hsa-mir-1184	3	2.6667	0.0248
hsa-mir-1185	2	5.0	0.0741
hsa-mir-3130	2	0.5	0.0458
hsa-mir-3116	2	0.5	0.0435
hsa-mir-103	4	6.0	0.0352
hsa-mir-101	3	13.0	0.0
hsa-mir-106	2	9.0	0.0268
hsa-mir-105	2	8.0	0.0244
hsa-mir-551	2	9.0	0.0269
hsa-mir-550	5	1.2	0.0152
hsa-mir-181	5	10.0	0.0009
hsa-mir-3926	2	0.5	0.0419
hsa-mir-544	2	4.0	0.0426
hsa-mir-301	2	10.0	0.0143
hsa-mir-302	6	6.1667	0.0197
hsa-mir-3622	2	0.5	0.0426
hsa-mir-1285	3	0.6667	0.036
hsa-let-7	11	12.0	0.0
hsa-mir-3150	2	0.5	0.0437
hsa-mir-3156	3	0.6667	0.0336
hsa-mir-1283	3	1.3333	0.0411
hsa-mir-1282	2	5.0	0.0791
hsa-mir-3158	2	0.5	0.0442
hsa-mir-1289	2	1.5	0.0759
hsa-mir-4283	2	0.0	0.0508
hsa-mir-3914	2	1.5	0.0806
hsa-mir-10	2	10.5	0.018
hsa-mir-15	2	12.0	0.0044
hsa-mir-16	2	10.5	0.017
hsa-mir-19	3	11.3333	0.0015
hsa-mir-18	2	13.0	0.0028
hsa-mir-3160	2	0.0	0.0431
hsa-mir-99	2	10.0	0.0141
hsa-mir-153	3	11.3333	0.0024
hsa-mir-92	3	9.3333	0.0085
hsa-mir-323	2	4.5	0.0817
hsa-mir-526	3	1.6667	0.0389
hsa-mir-520	8	2.125	0.0104
hsa-mir-521	3	2.6667	0.0237
hsa-mir-523	2	1.0	0.0884
hsa-mir-329	3	5.0	0.0336
hsa-mir-548	40	0.375	0.0
hsa-mir-3179	3	0.6667	0.0328
hsa-mir-26	3	8.3333	0.0187
hsa-mir-27	2	11.5	0.012
hsa-mir-20	2	11.0	0.008
hsa-mir-1302	10	0.7	0.0001
hsa-mir-23	3	7.3333	0.0241
hsa-mir-29	4	11.5	0.0001
hsa-mir-146	2	9.5	0.0128
hsa-mir-518	8	1.375	0.0029
hsa-mir-3074	2	9.5	0.0103
hsa-mir-511	3	3.6667	0.07
hsa-mir-513	5	2.4	0.0253
hsa-mir-512	3	2.3333	0.0203
hsa-mir-515	2	2.0	0.0631
hsa-mir-514	4	1.75	0.0176
hsa-mir-517	4	1.5	0.0231
hsa-mir-516	4	2.0	0.0159
hsa-mir-450	3	6.6667	0.0337
hsa-mir-454	2	10.5	0.0177
hsa-mir-449	3	8.3333	0.0151
hsa-mir-891	2	2.0	0.0646
hsa-mir-892	3	3.0	0.0389
hsa-mir-148	2	10.5	0.0178
hsa-mir-1270	2	0.5	0.0409
hsa-mir-1273	4	1.0	0.0217
hsa-mir-1274	2	2.0	0.0672
hsa-mir-3180	5	0.0	0.0002
hsa-mir-664	2	3.5	0.0086
hsa-mir-663	2	2.0	0.0632
hsa-mir-509	4	2.0	0.0192
hsa-mir-500	2	4.0	0.0401
hsa-mir-133	3	12.0	0.0005
hsa-mir-130	2	12.0	0.0052
hsa-mir-135	3	10.3333	0.004
hsa-mir-138	2	11.0	0.0113
hsa-mir-1260	2	5.5	0.0864
hsa-mir-941	4	0.0	0.0019
